sl_no,District_code,District_names,Rural_MPCE,Rural_MPCE_seblup,Rural_MPCE_Var,Rural_MPCE_Var_seblup,Rural_MPCE_RSE,spatial_eblup_cv
1,1,Saharanpur,4780.727268,3788.222249,605880.6535,143029.0795,16.28169346,9.983359752
2,2,Muzaffarnagar,3999.071239,3974.958602,13259.99661,12189.22025,2.879470051,2.777508216
3,3,Bijnor,3931.603844,3863.151044,33552.97572,27604.90862,4.659032825,4.300821995
4,4,Moradabad,3566.178715,3569.865401,6755.141378,6448.70065,2.304698493,2.249491037
5,5,Rampur,4061.736227,3730.494564,248004.0036,82467.81318,12.26076672,7.697963149
6,6,Jyotiba Phule Nagar,3683.229112,3696.030717,30731.13041,24427.90512,4.759491255,4.228706471
7,7,Meerut,4361.547663,4274.227311,28427.08787,22825.6193,3.865676998,3.534709034
8,8,Bagpat,4899.373247,4408.672961,132625.8435,65570.21208,7.433161232,5.808251463
9,9,Ghaziabad,4057.88218,4055.831642,8214.110499,7732.3943,2.233473671,2.168088855
10,10,Gautam Buddha Nagar,4605.524248,4460.726296,36195.91925,28458.95317,4.13095755,3.781846384
11,11,Bulandshahr,3953.260842,3919.448699,14301.5338,12798.37698,3.025072849,2.886373075
12,12,Aligarh,3621.006628,3615.757065,5902.310207,5633.613615,2.121688858,2.075841955
13,13,Mahamaya Nagar,3562.248058,3566.649965,14092.44519,12642.85267,3.332491258,3.152550478
14,14,Mathura,3566.759772,3555.244222,52361.80639,38510.72764,6.415543448,5.519775608
15,15,Agra,3604.792809,3589.352402,12272.49249,11293.26354,3.073166423,2.96069474
16,16,Firozabad,3085.634336,3119.74997,13480.06306,12159.89642,3.762716548,3.53463968
17,17,Mainpuri,3630.182717,3540.59351,54995.44523,37620.96386,6.46003508,5.478212697
18,18,Badaun,2882.576565,2916.036598,10176.51126,9403.51543,3.499601606,3.325463232
19,19,Bareilly,3652.945598,3566.673641,43811.72877,33111.36532,5.729965284,5.101820474
20,20,Pilibhit,3126.59021,3133.232219,7844.472446,7454.492834,2.832767344,2.755601846
21,21,Shahjahanpur,3354.774883,3333.403716,20582.47212,17781.28156,4.27646956,4.000309689
22,22,Kheri,3076.757676,3082.203992,11285.44424,10471.43004,3.452757179,3.320027027
23,23,Sitapur,3091.096357,3091.57632,3535.044431,3443.045552,1.923467688,1.89797904
24,24,Hardoi,2831.999449,2836.528751,4755.117041,4594.293752,2.434935385,2.389583386
25,25,Unnao,3066.494861,3066.555033,10926.95943,10016.0639,3.408846332,3.263606431
26,26,Lucknow,3235.334178,3235.03701,13130.66751,11862.42476,3.541801818,3.366723744
27,27,Rae Bareli,2924.635366,2929.463574,5713.620675,5457.12843,2.584544266,2.52170329
28,28,Farrukhabad,3131.511685,3138.465203,10949.9144,10062.38398,3.341575865,3.19619395
29,29,Kannauj,2454.433625,2606.150633,33670.70457,26268.14426,7.476094978,6.218923042
30,30,Etawah,3299.063591,3306.415094,77676.20688,47721.45043,8.447988578,6.606926001
31,31,Auraiya,2837.728265,2874.901257,12026.37402,10969.82338,3.864528791,3.64314859
32,32,Kanpur Dehat,3090.999022,3093.782126,5732.787647,5471.741409,2.449537316,2.390964106
33,33,Kanpur Nagar,2903.522442,2923.04246,11381.26527,10375.9252,3.6742617,3.484803484
34,34,Jalaun,3502.855455,3449.254823,39561.05776,30491.47975,5.67821367,5.062487576
35,35,Jhansi,3820.313375,3767.332735,18258.14627,16502.21028,3.536953515,3.409864167
36,36,Lalitpur,3118.640669,3135.461756,8868.751007,8598.508842,3.01971456,2.957399963
37,37,Hamirpur,2831.961137,2906.046233,23298.2958,19870.51234,5.389826535,4.850673166
38,38,Mahoba,4093.421557,3951.562108,30912.45953,25687.50367,4.29516951,4.055945758
39,39,Banda,2847.864744,2865.720237,7988.603465,7546.995222,3.138456207,3.031469806
40,40,Chitrakoot,3531.44513,3456.28512,38192.71907,29987.22927,5.533983073,5.010240906
41,41,Fatehpur,2929.742287,2932.561259,4683.473705,4515.143797,2.335902027,2.291335586
42,42,Pratapgarh,2848.908493,2847.683419,4210.125884,4072.090729,2.277555878,2.240871826
43,43,Kaushambi,2954.972496,2967.419416,11643.96427,10674.5391,3.651715956,3.481734351
44,44,Allahabad,2985.416959,2966.773665,10424.25722,9677.209055,3.419932734,3.315817706
45,45,Bara Banki,3046.330559,3043.292743,9251.42302,8619.355892,3.157382828,3.050659076
46,46,Faizabad,2592.994326,2617.083008,6231.356781,5925.046359,3.044316086,2.941225879
47,47,Ambedkar Nagar,3064.285872,3046.240762,26588.74076,21615.32061,5.321322815,4.826325579
48,48,Sultanpur,2897.232476,2897.42941,12147.07355,11007.60647,3.804104914,3.621042176
49,49,Bahraich,3359.112351,3349.720841,7623.591542,7249.999327,2.599293256,2.54191116
50,50,Shrawasti,5124.296305,4289.955456,134522.9651,68097.44094,7.157543258,6.082927119
51,51,Balrampur,3561.128531,3534.83475,11911.16023,10942.36492,3.064709994,2.959282877
52,52,Gonda,3684.351811,3638.223707,10375.79754,9589.099365,2.764710431,2.691531768
53,53,Siddharthnagar,2649.70835,2672.885774,7678.1382,7247.899316,3.306967205,3.185119099
54,54,Basti,2961.36761,2966.083195,10401.25473,9549.635256,3.443900094,3.294655908
55,55,Sant Kabir Nagar,2928.610037,2938.617505,7950.81371,7443.341113,3.044698144,2.935897572
56,56,Maharajganj,2776.326628,2784.265458,4817.574547,4654.75772,2.500021038,2.450405175
57,57,Gorakhpur,2878.173827,2876.262684,2963.437029,2892.383103,1.891388883,1.869818106
58,58,Kushinagar,2736.334847,2742.144205,3158.668722,3090.42638,2.053916571,2.027304159
59,59,Deoria,3103.847777,3095.149419,5075.209781,4886.133398,2.295231974,2.258400911
60,60,Azamgarh,2916.769179,2899.593138,10141.92921,9388.854069,3.452695075,3.341713638
61,61,Mau,2793.547066,2808.446978,10239.42858,9438.816026,3.622278747,3.459334289
62,62,Ballia,2753.007879,2760.60056,8193.540198,7783.946659,3.287973738,3.195923343
63,63,Jaunpur,2719.414599,2718.214393,3262.628942,3179.280189,2.100430991,2.074343593
64,64,Ghazipur,2577.055885,2581.191573,2545.178468,2496.498555,1.957651059,1.935732853
65,65,Chanduali,2342.505955,2366.195824,6104.182612,5844.826511,3.335285805,3.230986392
66,66,Varanasi,2722.63531,2721.659558,9989.839256,9202.813573,3.671045586,3.524735334
67,67,Sant Ravidas Nagar (Bhadohi),2414.185227,2434.766077,6372.474662,6039.688469,3.306613775,3.191905512
68,68,Mirzapur,2386.94502,2409.321274,6353.586456,6060.029235,3.339389338,3.231042304
69,69,Sonbhadra,2333.099728,2356.580379,5037.976611,4913.945783,3.042249094,2.97462979
70,70,Etah,3859.102576,3825.125241,11906.85829,10800.23466,2.82756287,2.716883002
71,71,Kanshiram Nagar,3346.459389,3364.816195,15621.8462,13765.12373,3.734914118,3.486813462
72,72,Shamli,3999.071239,3985.260804,13259.99661,12411.96783,2.879470051,2.795526238
73,73,Sambhal,3566.178715,3571.373807,6755.141378,6406.808074,2.304698493,2.241225463
74,74,Hapur,4057.88218,4051.316929,8214.110499,7668.174194,2.233473671,2.161472757
75,75,Amethi,2910.933921,2916.424579,4465.173556,4303.986529,2.295550362,2.24949329
